Date,Cash,Portfolio_Value,Total_Equity
2023-02-27,12.7,24856.47,24869.17
2023-02-28,12.7,24579.45,24592.15
2023-03-01,12.7,24591.6,24604.3
2023-03-02,12.7,24285.42,24298.12
2023-03-03,12.7,24402.06,24414.76
2023-03-06,12.7,24657.21,24669.91
2023-03-07,12.7,24518.7,24531.4
2023-03-08,12.7,25082.46,25095.16
2023-03-09,12.7,24679.08,24691.78
2023-03-10,12.7,24351.03,24363.73
2023-03-13,12.7,24246.54,24259.24
2023-03-14,12.7,24197.94,24210.64
2023-03-15,12.7,24151.77,24164.47
2023-03-16,12.7,24300.0,24312.7
2023-03-17,12.7,24020.55,24033.25
2023-03-20,12.7,23741.1,23753.8
2023-03-21,12.7,23796.99,23809.69
2023-03-22,12.7,23578.29,23590.99
2023-03-23,12.7,22982.94,22995.64
2023-03-24,12.7,23293.98,23306.68
