Date,Cash,Portfolio_Value,Total_Equity
2022-09-01,5.86,42189.33,42195.19
2022-09-02,5.86,41930.26,41936.12
2022-09-05,5.86,41966.55,41972.41
2022-09-06,5.86,40809.11,40814.97
2022-09-08,5.86,40612.32,40618.18
2022-09-09,5.86,41204.47,41210.33
2022-09-12,5.86,41634.07,41639.94
2022-09-13,5.86,40763.24,40769.1
2022-09-14,5.86,40528.11,40533.97
2022-09-15,5.86,40532.49,40538.35
2022-09-16,5.86,40323.81,40329.67
2022-09-19,5.86,40752.75,40758.61
2022-09-20,5.86,41093.48,41099.34
2022-09-21,5.86,40934.57,40940.44
2022-09-22,5.86,41514.3,41520.17
2022-09-23,5.86,40735.37,40741.24
2022-09-26,5.86,39374.29,39380.15
2022-09-27,5.86,39268.59,39274.46
2022-09-28,5.86,39111.85,39117.72
2022-09-29,5.86,38955.81,38961.67
2022-09-30,5.86,39192.41,39198.28
2022-10-03,5.86,41546.99,41552.86
2022-10-04,5.86,40811.42,40817.28
2022-10-05,5.86,41108.31,41114.17
2022-10-06,5.86,41653.3,41659.16
2022-10-07,5.86,41526.65,41532.51
2022-10-10,5.86,41362.31,41368.17
2022-10-11,5.86,40694.83,40700.69
2022-10-13,5.86,40782.9,40788.76
2022-10-14,5.86,40971.83,40977.69
2022-10-17,5.86,41302.8,41308.66
2022-10-18,5.86,42015.63,42021.49
2022-10-19,5.86,42856.7,42862.57
2022-10-20,5.86,43901.7,43907.56
2022-10-21,5.86,44741.22,44747.08
2022-10-24,5.86,42585.86,42591.72
2022-10-25,5.86,41985.33,41991.2
2022-10-26,5.86,41034.36,41040.22
2022-10-27,5.86,41716.79,41722.65
2022-10-28,5.86,41783.36,41789.22
2022-10-31,5.86,40996.5,41002.37
2022-11-01,5.86,41949.33,41955.2
2022-11-03,5.86,42436.29,42442.15
2022-11-04,5.86,42659.21,42665.08
2022-11-07,5.86,41706.39,41712.26
2022-11-08,5.86,41708.92,41714.78
2022-11-09,5.86,40948.37,40954.23
2022-11-10,5.86,39445.11,39450.97
2022-11-11,5.86,39900.06,39905.93
2022-11-14,5.86,42420.68,42426.54
2022-11-16,5.86,42578.06,42583.92
2022-11-17,5.86,42006.3,42012.17
2022-11-18,5.86,41282.33,41288.19
2022-11-21,5.86,41828.2,41834.06
2022-11-22,5.86,41615.81,41621.68
2022-11-23,5.86,41388.96,41394.82
2022-11-24,5.86,42474.3,42480.17
2022-11-25,5.86,41535.77,41541.63
2022-11-28,5.86,41602.82,41608.68
2022-11-29,5.86,41735.71,41741.57
2022-11-30,5.86,42526.36,42532.22
2022-12-01,5.86,42856.36,42862.23
2022-12-02,5.86,44469.55,44475.41
2022-12-05,5.86,43679.43,43685.3
2022-12-06,5.86,43587.89,43593.76
2022-12-07,5.86,43379.95,43385.82
2022-12-08,5.86,42108.99,42114.85
2022-12-09,5.86,42364.78,42370.65
2022-12-12,5.86,40736.89,40742.75
2022-12-13,5.86,39543.43,39549.3
2022-12-14,5.86,38883.07,38888.94
2022-12-15,5.86,39475.63,39481.49
2022-12-16,5.86,39520.72,39526.58
2022-12-19,5.86,40285.87,40291.73
2022-12-20,5.86,41064.14,41070.0
2022-12-21,5.86,41502.37,41508.23
2022-12-22,5.86,41774.78,41780.64
2022-12-23,5.86,43104.96,43110.83
2022-12-26,5.86,43350.72,43356.58
2022-12-27,5.86,42829.0,42834.87
2022-12-28,5.86,43019.39,43025.26
2022-12-29,5.86,43229.84,43235.7
2023-01-02,5.86,41155.99,41161.85
2023-01-03,5.86,41460.24,41466.1
2023-01-04,5.86,41864.19,41870.06
2023-01-05,5.86,42830.7,42836.56
2023-01-06,5.86,43029.29,43035.15
2023-01-09,5.86,42618.36,42624.22
2023-01-10,5.86,43311.68,43317.55
2023-01-11,5.86,44844.03,44849.89
2023-01-12,5.86,44516.52,44522.39
2023-01-13,5.86,43758.47,43764.33
2023-01-16,5.86,43113.7,43119.56
2023-01-17,5.86,44710.1,44715.96
2023-01-18,5.86,45524.85,45530.72
2023-01-19,5.86,46392.63,46398.5
2023-01-20,5.86,46770.22,46776.09
2023-01-23,5.86,47039.29,47045.15
2023-01-24,5.86,47544.66,47550.52
2023-01-25,5.86,48357.73,48363.59
2023-01-26,5.86,47906.08,47911.94
2023-01-27,5.86,47290.6,47296.46
2023-01-30,5.86,47113.9,47119.77
2023-01-31,5.86,48285.06,48290.92
2023-02-01,5.86,47932.17,47938.04
2023-02-02,5.86,46742.56,46748.43
2023-02-03,5.86,46670.79,46676.65
2023-02-06,5.86,47203.86,47209.72
2023-02-07,5.86,47290.85,47296.71
2023-02-08,5.86,49115.42,49121.29
2023-02-09,5.86,48650.9,48656.76
2023-02-10,5.86,49152.01,49157.87
2023-02-13,5.86,49623.06,49628.92
2023-02-14,5.86,49402.02,49407.89
2023-02-15,5.86,49534.86,49540.72
2023-02-16,5.86,49455.9,49461.77
2023-02-17,5.86,49972.92,49978.78
2023-02-22,5.86,48501.72,48507.58
2023-02-23,5.86,48586.22,48592.08
2023-02-24,5.86,47698.08,47703.94
2023-02-27,5.86,47758.79,47764.65
2023-02-28,5.86,46922.52,46928.38
2023-03-01,5.86,46843.57,46849.43
2023-03-02,5.86,45763.59,45769.45
2023-03-03,5.86,46441.13,46446.99
2023-03-06,5.86,46775.2,46781.06
2023-03-07,5.86,46370.14,46376.01
2023-03-08,5.86,46701.07,46706.94
2023-03-09,5.86,47088.86,47094.73
2023-03-10,5.86,46398.81,46404.67
2023-03-13,5.86,45935.22,45941.09
2023-03-14,5.86,43877.41,43883.27
2023-03-15,5.86,43683.92,43689.78
2023-03-16,5.86,43911.1,43916.97
2023-03-17,5.86,42617.78,42623.65
2023-03-20,5.86,42489.84,42495.7
2023-03-21,5.86,42827.6,42833.46
2023-03-22,5.86,42944.22,42950.08
2023-03-23,5.86,42554.15,42560.02
2023-03-24,5.86,43045.18,43051.05
2023-03-27,5.86,43158.61,43164.47
2023-03-28,5.86,43890.89,43896.75
2023-03-29,5.86,43924.9,43930.77
2023-03-30,5.86,44869.1,44874.96
2023-03-31,5.86,44975.33,44981.2
2023-04-03,5.86,45001.23,45007.09
2023-04-04,5.86,45180.96,45186.83
2023-04-05,5.86,44026.23,44032.09
2023-04-06,5.86,44050.94,44056.8
2023-04-10,5.86,44501.59,44507.45
2023-04-11,5.86,46392.96,46398.83
2023-04-12,5.86,46761.89,46767.75
2023-04-13,5.86,46494.76,46500.63
2023-04-14,5.86,47135.68,47141.54
2023-04-17,5.86,47672.92,47678.79
2023-04-18,5.86,47287.17,47293.03
2023-04-19,5.86,46424.98,46430.85
2023-04-20,5.86,46670.42,46676.29
2023-04-24,5.86,47181.34,47187.2
2023-04-25,5.86,47393.56,47399.42
2023-04-26,5.86,47538.84,47544.7
2023-04-27,5.86,48096.47,48102.33
2023-04-28,5.86,48231.07,48236.94
2023-05-02,5.86,48410.95,48416.81
2023-05-03,5.86,48620.24,48626.1
2023-05-04,5.86,49290.15,49296.01
2023-05-05,5.86,50784.18,50790.04
2023-05-08,5.86,51639.85,51645.71
2023-05-09,5.86,50320.44,50326.31
2023-05-10,5.86,51748.21,51754.08
2023-05-11,5.86,55266.15,55272.01
2023-05-12,5.86,55332.36,55338.23
2023-05-15,5.86,55810.71,55816.57
2023-05-16,5.86,55646.23,55652.09
2023-05-17,5.86,56644.37,56650.23
2023-05-18,5.86,57482.6,57488.47
2023-05-19,5.86,58002.72,58008.59
2023-05-22,5.86,57298.58,57304.44
2023-05-23,5.86,57795.92,57801.78
2023-05-24,5.86,58112.22,58118.08
2023-05-25,5.86,58598.56,58604.42
2023-05-26,5.86,60079.71,60085.57
2023-05-29,5.86,60336.92,60342.78
2023-05-30,5.86,59720.22,59726.08
2023-05-31,5.86,59549.15,59555.02
2023-06-01,5.86,60103.59,60109.45
2023-06-02,5.86,60605.46,60611.32
2023-06-05,5.86,60532.57,60538.43
2023-06-06,5.86,61575.82,61581.68
2023-06-07,5.86,61477.72,61483.58
2023-06-09,5.86,62530.54,62536.41
2023-06-12,5.86,63042.81,63048.67
2023-06-13,5.86,62809.09,62814.95
2023-06-14,5.86,65611.98,65617.84
2023-06-15,5.86,65698.19,65704.05
2023-06-16,5.86,65876.39,65882.25
2023-06-19,5.86,66793.82,66799.68
2023-06-20,5.86,67546.46,67552.33
2023-06-21,5.86,68432.32,68438.19
2023-06-22,5.86,67475.55,67481.41
2023-06-23,5.86,67019.17,67025.03
2023-06-26,5.86,66614.22,66620.09
2023-06-27,5.86,65593.72,65599.58
2023-06-28,5.86,65810.94,65816.81
2023-06-29,5.86,67225.85,67231.72
2023-06-30,5.86,67604.81,67610.67
2023-07-03,5.86,67347.85,67353.71
2023-07-04,5.86,66314.66,66320.52
2023-07-05,5.86,66426.14,66432.0
2023-07-06,5.86,66104.88,66110.75
2023-07-07,5.86,67506.01,67511.88
2023-07-10,5.86,66912.53,66918.39
2023-07-11,5.86,66700.72,66706.58
2023-07-12,5.86,66535.73,66541.6
2023-07-13,5.86,66879.48,66885.34
2023-07-14,5.86,65576.1,65581.96
2023-07-17,5.86,65959.84,65965.71
2023-07-18,5.86,66341.1,66346.96
2023-07-19,5.86,65292.95,65298.81
2023-07-20,5.86,65789.59,65795.45
2023-07-21,5.86,66556.47,66562.33
2023-07-24,5.86,66247.7,66253.56
2023-07-25,5.86,65734.06,65739.92
2023-07-26,5.86,65918.44,65924.3
2023-07-27,5.86,64705.17,64711.04
2023-07-28,5.86,65872.16,65878.03
2023-07-31,5.86,66683.16,66689.02
2023-08-01,5.86,66070.55,66076.42
2023-08-02,5.86,66249.0,66254.87
2023-08-03,5.86,66901.91,66907.77
2023-08-04,5.86,67181.94,67187.81
2023-08-07,5.86,67104.2,67110.07
2023-08-08,5.86,66136.54,66142.41
2023-08-09,5.86,66008.32,66014.18
2023-08-10,5.86,69218.45,69224.31
2023-08-11,5.86,66845.26,66851.12
2023-08-14,5.86,68102.87,68108.74
2023-08-15,5.86,67694.5,67700.36
2023-08-16,5.86,67700.04,67705.9
2023-08-17,5.86,66631.11,66636.98
2023-08-18,5.86,65772.32,65778.18
2023-08-21,5.86,64878.66,64884.52
2023-08-22,5.86,66383.4,66389.26
2023-08-23,5.86,68088.24,68094.1
2023-08-24,5.86,67749.74,67755.6
2023-08-25,5.86,64932.64,64938.5
2023-08-28,5.86,65420.81,65426.68
2023-08-29,5.86,66544.63,66550.49
2023-08-30,5.86,68377.33,68383.19
2023-08-31,5.86,68580.46,68586.33
2023-09-01,5.86,69863.85,69869.71
2023-09-04,5.86,68995.29,69001.15
