Date,Cash,Portfolio_Value,Total_Equity
2019-03-01,1.01,23701.91,23702.93
2019-03-06,1.01,23598.17,23599.18
2019-03-07,1.01,23436.94,23437.95
2019-03-08,1.01,23871.67,23872.68
2019-03-11,1.01,24287.45,24288.46
2019-03-12,1.01,24288.97,24289.98
2019-03-13,1.01,24579.78,24580.79
2019-03-14,1.01,24487.47,24488.49
2019-03-15,1.01,24552.51,24553.52
2019-03-18,1.01,24748.47,24749.48
2019-03-19,1.01,24611.13,24612.15
2019-03-20,1.01,24321.42,24322.43
2019-03-21,1.01,23959.95,23960.97
2019-03-22,1.01,23371.82,23372.83
2019-03-25,1.01,23367.5,23368.51
2019-03-26,1.01,23693.24,23694.26
2019-03-27,1.01,22910.27,22911.28
2019-03-28,1.01,23433.54,23434.55
2019-03-29,1.01,23651.01,23652.03
2019-04-01,1.01,23644.75,23645.76
2019-04-02,1.01,23595.93,23596.94
2019-04-03,1.01,23538.66,23539.68
2019-04-04,1.01,23938.54,23939.55
2019-04-05,1.01,24209.19,24210.21
2019-04-08,1.01,24190.24,24191.25
2019-04-09,1.01,23886.77,23887.79
2019-04-10,1.01,23779.71,23780.72
2019-04-11,1.01,23580.78,23581.8
2019-04-12,1.01,23089.54,23090.55
2019-04-15,1.01,23164.99,23166.0
2019-04-16,1.01,23449.85,23450.86
2019-04-17,1.01,23261.27,23262.28
2019-04-18,1.01,23567.15,23568.17
2019-04-22,1.01,23705.27,23706.28
2019-04-23,1.01,23995.63,23996.64
2019-04-24,1.01,23761.32,23762.33
2019-04-25,1.01,24089.76,24090.77
2019-04-26,1.01,24140.41,24141.43
2019-04-29,1.01,24131.69,24132.7
2019-04-30,1.01,24163.65,24164.66
2019-05-02,1.01,24066.25,24067.26
2019-05-03,1.01,23914.05,23915.07
2019-05-06,1.01,23775.15,23776.17
2019-05-07,1.01,23641.7,23642.71
2019-05-08,1.01,23943.03,23944.04
2019-05-09,1.01,23776.66,23777.68
2019-05-10,1.01,23710.56,23711.57
2019-05-13,1.01,23255.54,23256.56
2019-05-14,1.01,23197.87,23198.89
2019-05-15,1.01,23108.34,23109.35
2019-05-16,1.01,22684.88,22685.9
2019-05-17,1.01,22402.7,22403.71
2019-05-20,1.01,22969.13,22970.14
2019-05-21,1.01,23604.96,23605.98
2019-05-22,1.01,23569.42,23570.43
2019-05-23,1.01,23392.69,23393.7
2019-05-24,1.01,23343.96,23344.98
2019-05-27,1.01,23498.74,23499.75
2019-05-28,1.01,23958.59,23959.61
2019-05-29,1.01,24062.88,24063.89
2019-05-30,1.01,24305.0,24306.01
2019-05-31,1.01,24335.92,24336.93
2019-06-03,1.01,24529.26,24530.27
2019-06-04,1.01,24538.64,24539.66
2019-06-05,1.01,24316.84,24317.85
2019-06-06,1.01,24502.02,24503.03
2019-06-07,1.01,24838.55,24839.57
2019-06-10,1.01,24707.88,24708.89
2019-06-11,1.01,24933.27,24934.29
2019-06-12,1.01,24823.96,24824.97
2019-06-13,1.01,24884.96,24885.97
2019-06-14,1.01,24852.25,24853.26
2019-06-17,1.01,24907.11,24908.12
2019-06-18,1.01,25171.71,25172.72
2019-06-19,1.01,25488.07,25489.09
2019-06-21,1.01,25603.32,25604.33
2019-06-24,1.01,25624.34,25625.35
2019-06-25,1.01,25171.72,25172.73
2019-06-26,1.01,25350.98,25352.0
2019-06-27,1.01,25412.28,25413.29
2019-06-28,1.01,25560.75,25561.77
2019-07-01,1.01,25499.53,25500.54
2019-07-02,1.01,25444.7,25445.71
2019-07-03,1.01,25742.1,25743.11
2019-07-04,1.01,26188.92,26189.94
2019-07-05,1.01,26370.57,26371.58
2019-07-08,1.01,26521.37,26522.39
2019-07-10,1.01,26756.24,26757.25
2019-07-11,1.01,26749.12,26750.13
2019-07-12,1.01,26345.13,26346.14
2019-07-15,1.01,26097.8,26098.81
2019-07-16,1.01,26018.21,26019.22
2019-07-17,1.01,26002.05,26003.06
2019-07-18,1.01,26163.11,26164.12
2019-07-19,1.01,25892.73,25893.74
2019-07-22,1.01,25959.27,25960.28
2019-07-23,1.01,25882.03,25883.04
2019-07-24,1.01,26007.24,26008.25
2019-07-25,1.01,25613.82,25614.83
2019-07-26,1.01,25765.0,25766.01
2019-07-29,1.01,26059.71,26060.73
2019-07-30,1.01,25956.79,25957.8
2019-07-31,1.01,25807.57,25808.58
2019-08-01,1.01,25856.24,25857.25
2019-08-02,1.01,26092.55,26093.56
2019-08-05,1.01,25510.35,25511.36
2019-08-06,1.01,26071.8,26072.81
2019-08-07,1.01,26358.12,26359.14
2019-08-08,1.01,26654.78,26655.79
2019-08-09,1.01,26796.51,26797.53
2019-08-12,1.01,26263.42,26264.43
2019-08-13,1.01,26439.18,26440.19
2019-08-14,1.01,25704.36,25705.37
2019-08-15,1.01,25365.47,25366.49
2019-08-16,1.01,25575.45,25576.46
2019-08-19,1.01,25497.67,25498.69
2019-08-20,1.01,25420.94,25421.95
2019-08-21,1.01,25957.08,25958.09
2019-08-22,1.01,25699.89,25700.9
2019-08-23,1.01,25301.5,25302.52
2019-08-26,1.01,24986.82,24987.83
2019-08-27,1.01,25066.82,25067.84
2019-08-28,1.01,25319.45,25320.47
2019-08-29,1.01,25707.87,25708.89
2019-08-30,1.01,26031.42,26032.44
2019-09-02,1.01,25966.17,25967.18
2019-09-03,1.01,25754.71,25755.72
2019-09-04,1.01,26052.57,26053.58
2019-09-05,1.01,26246.95,26247.96
2019-09-06,1.01,26456.09,26457.1
2019-09-09,1.01,26350.5,26351.51
2019-09-10,1.01,26412.4,26413.41
2019-09-11,1.01,26646.91,26647.92
2019-09-12,1.01,26711.2,26712.22
2019-09-13,1.01,26513.3,26514.31
2019-09-16,1.01,26531.76,26532.78
2019-09-17,1.01,26698.98,26700.0
2019-09-18,1.01,26786.4,26787.41
2019-09-19,1.01,26775.79,26776.8
2019-09-20,1.01,26905.69,26906.7
2019-09-23,1.01,26862.34,26863.36
2019-09-24,1.01,26737.05,26738.06
2019-09-25,1.01,26623.02,26624.03
2019-09-26,1.01,26762.81,26763.83
2019-09-27,1.01,26789.62,26790.63
2019-09-30,1.01,26767.78,26768.8
2019-10-01,1.01,26634.24,26635.25
2019-10-02,1.01,26026.17,26027.18
2019-10-03,1.01,26306.8,26307.82
2019-10-04,1.01,26515.28,26516.29
2019-10-07,1.01,25967.92,25968.93
2019-10-08,1.01,25770.78,25771.8
2019-10-09,1.01,26084.96,26085.97
2019-10-10,1.01,26133.69,26134.71
2019-10-11,1.01,26578.92,26579.93
2019-10-14,1.01,26715.54,26716.56
2019-10-15,1.01,26582.78,26583.8
2019-10-16,1.01,26895.66,26896.68
2019-10-17,1.01,26778.71,26779.73
2019-10-18,1.01,26900.4,26901.41
2019-10-21,1.01,27159.82,27160.83
2019-10-22,1.01,27373.26,27374.27
2019-10-23,1.01,27405.69,27406.7
2019-10-24,1.01,27326.41,27327.42
2019-10-25,1.01,27430.29,27431.31
2019-10-28,1.01,27679.54,27680.56
2019-10-29,1.01,27859.94,27860.95
2019-10-30,1.01,28141.87,28142.88
2019-10-31,1.01,28017.33,28018.35
2019-11-01,1.01,28246.96,28247.97
2019-11-04,1.01,28298.36,28299.37
2019-11-05,1.01,28082.62,28083.63
2019-11-06,1.01,28148.8,28149.81
2019-11-07,1.01,28377.96,28378.97
2019-11-08,1.01,28081.42,28082.43
2019-11-11,1.01,28400.06,28401.07
2019-11-12,1.01,28076.66,28077.68
2019-11-13,1.01,27980.88,27981.89
2019-11-14,1.01,28272.47,28273.49
2019-11-18,1.01,28258.17,28259.19
2019-11-19,1.01,28138.77,28139.78
2019-11-21,1.01,28486.75,28487.77
2019-11-22,1.01,28555.56,28556.57
2019-11-25,1.01,28470.48,28471.5
2019-11-26,1.01,28107.24,28108.26
2019-11-27,1.01,28413.55,28414.56
2019-11-28,1.01,28547.53,28548.54
2019-11-29,1.01,28634.42,28635.44
2019-12-02,1.01,28515.49,28516.51
2019-12-03,1.01,28700.06,28701.07
2019-12-04,1.01,29083.38,29084.4
2019-12-05,1.01,29242.55,29243.56
2019-12-06,1.01,29307.25,29308.26
2019-12-09,1.01,29184.96,29185.97
2019-12-10,1.01,29147.75,29148.77
2019-12-11,1.01,29283.84,29284.85
2019-12-12,1.01,29704.49,29705.5
2019-12-13,1.01,29844.28,29845.29
2019-12-16,1.01,29510.68,29511.7
2019-12-17,1.01,29811.58,29812.59
2019-12-18,1.01,30461.33,30462.34
2019-12-19,1.01,30628.09,30629.1
2019-12-20,1.01,30551.66,30552.68
2019-12-23,1.01,30869.35,30870.36
2019-12-26,1.01,31225.32,31226.33
2019-12-27,1.01,31033.74,31034.75
2019-12-30,1.01,30973.95,30974.96
2020-01-02,1.01,31904.49,31905.5
2020-01-03,1.01,31639.29,31640.31
2020-01-06,1.01,31572.32,31573.33
2020-01-07,1.01,31467.6,31468.62
2020-01-08,1.01,31267.52,31268.54
2020-01-09,1.01,31294.63,31295.64
2020-01-10,1.01,31302.16,31303.17
2020-01-13,1.01,31668.62,31669.63
2020-01-14,1.01,31849.88,31850.89
2020-01-15,1.01,31606.35,31607.37
2020-01-16,1.01,31734.97,31735.98
2020-01-17,1.01,32234.28,32235.3
2020-01-20,1.01,32476.43,32477.45
2020-01-21,1.01,32241.01,32242.02
2020-01-22,1.01,32582.7,32583.71
2020-01-23,1.01,32972.28,32973.29
2020-01-24,1.01,32980.08,32981.09
2020-01-27,1.01,32449.19,32450.2
2020-01-28,1.01,32883.69,32884.7
2020-01-29,1.01,32798.7,32799.71
2020-01-30,1.01,32503.74,32504.75
2020-01-31,1.01,32062.41,32063.42
2020-02-03,1.01,32494.24,32495.25
